account_id,date,api_calls,error_count,rate_limit_hits_429,webhook_success_rate,p95_latency_ms
acc_0001,2024-08-18,409,3,0,0.9732,616
acc_0001,2024-08-19,2109,15,0,0.9649,476
acc_0001,2024-08-20,2079,18,0,0.97,284
acc_0001,2024-08-21,1737,7,0,0.9705,538
acc_0001,2024-08-22,1786,19,0,0.9844,464
acc_0001,2024-08-23,2281,30,0,0.9769,450
acc_0001,2024-08-24,580,5,0,0.9861,457
acc_0001,2024-08-25,453,4,0,0.9755,387
acc_0001,2024-08-26,2222,31,0,0.9742,503
acc_0001,2024-08-27,2427,11,0,0.9637,425
acc_0001,2024-08-28,2380,30,0,0.9507,330
acc_0001,2024-08-29,2514,14,0,0.9794,212
acc_0001,2024-08-30,1917,30,0,0.9878,487
acc_0001,2024-08-31,319,2,0,0.9814,443
acc_0001,2024-09-01,467,4,0,0.958,394
acc_0001,2024-09-02,2368,37,0,0.9772,556
acc_0001,2024-09-03,2027,18,0,0.9692,460
acc_0001,2024-09-04,2168,20,0,0.9574,414
acc_0001,2024-09-05,2229,15,0,0.9643,541
acc_0001,2024-09-06,1337,6,0,0.9619,383
acc_0001,2024-09-07,433,5,0,0.9828,437
acc_0001,2024-09-08,430,3,0,0.9764,503
acc_0001,2024-09-09,2208,21,0,0.9877,443
acc_0001,2024-09-10,1991,21,0,0.9917,378
acc_0001,2024-09-11,2065,30,0,0.9809,522
acc_0001,2024-09-12,2318,9,0,0.9954,465
acc_0001,2024-09-13,1634,6,0,0.9636,378
acc_0001,2024-09-14,429,6,0,0.9804,549
acc_0001,2024-09-15,401,5,0,0.9853,357
acc_0001,2024-09-16,1995,28,0,0.9556,355
acc_0001,2024-09-17,1825,21,1,0.9975,469
acc_0001,2024-09-18,2657,34,0,0.967,347
acc_0001,2024-09-19,1954,19,1,0.9983,308
acc_0001,2024-09-20,2248,30,0,0.9542,399
acc_0001,2024-09-21,451,6,0,0.9518,315
acc_0001,2024-09-22,451,2,0,0.9831,336
acc_0001,2024-09-23,2227,31,0,0.9862,469
acc_0001,2024-09-24,1895,21,0,0.992,471
acc_0001,2024-09-25,1893,8,0,0.9697,559
acc_0001,2024-09-26,1761,24,0,0.9671,417
acc_0001,2024-09-27,1480,12,0,0.9635,434
acc_0001,2024-09-28,347,1,0,0.9668,330
acc_0001,2024-09-29,461,7,0,0.9645,423
acc_0001,2024-09-30,2042,22,0,0.9989,311
acc_0001,2024-10-01,2138,31,0,0.9743,583
acc_0001,2024-10-02,1741,11,0,0.9509,464
acc_0001,2024-10-03,2467,22,0,0.997,377
acc_0001,2024-10-04,1980,29,0,0.9615,488
acc_0001,2024-10-05,384,4,0,0.9789,471
acc_0001,2024-10-06,372,2,0,0.9658,477
acc_0001,2024-10-07,2833,30,0,0.9888,515
acc_0001,2024-10-08,2283,36,0,0.9831,409
acc_0001,2024-10-09,1951,12,0,0.9775,413
acc_0001,2024-10-10,1954,19,0,0.9712,269
acc_0001,2024-10-11,1828,8,0,0.9621,376
acc_0001,2024-10-12,404,3,0,0.9525,367
acc_0001,2024-10-13,413,1,0,0.9842,377
acc_0001,2024-10-14,2262,19,0,0.9704,506
acc_0001,2024-10-15,1763,7,0,0.9749,324
acc_0001,2024-10-16,2302,30,0,0.9912,540
acc_0001,2024-10-17,1373,13,0,0.9835,566
acc_0001,2024-10-18,2175,32,0,0.9524,485
acc_0001,2024-10-19,421,1,0,0.9568,472
acc_0001,2024-10-20,427,2,0,0.9515,320
acc_0001,2024-10-21,1383,9,0,0.9779,368
acc_0001,2024-10-22,1505,6,0,0.9918,593
acc_0001,2024-10-23,2249,29,0,0.9919,426
acc_0001,2024-10-24,1769,19,0,0.9982,376
acc_0001,2024-10-25,2355,31,0,0.9794,500
acc_0001,2024-10-26,463,2,0,0.9515,307
acc_0001,2024-10-27,422,2,0,0.9855,584
acc_0001,2024-10-28,2628,20,0,0.9936,450
acc_0001,2024-10-29,2150,26,0,0.9585,345
acc_0001,2024-10-30,2071,8,0,0.9987,450
acc_0001,2024-10-31,2165,31,0,0.9763,437
acc_0001,2024-11-01,1853,20,0,0.9644,307
acc_0001,2024-11-02,191,1,0,0.8598,453
acc_0001,2024-11-03,167,1,0,0.8284,552
acc_0001,2024-11-04,1219,19,0,0.7871,467
acc_0001,2024-11-05,1030,10,0,0.7853,399
acc_0001,2024-11-06,936,11,0,0.7439,358
acc_0001,2024-11-07,754,10,0,0.866,357
acc_0001,2024-11-08,707,10,0,0.7806,440
acc_0001,2024-11-09,244,38,0,0.8112,359
acc_0001,2024-11-10,205,32,0,0.736,564
acc_0001,2024-11-11,944,167,0,0.7803,590
acc_0001,2024-11-12,882,98,0,0.8174,518
acc_0001,2024-11-13,877,152,0,0.7948,522
acc_0001,2024-11-14,899,83,0,0.7461,483
acc_0001,2024-11-15,800,83,0,0.7358,445
acc_0002,2024-08-18,4516,37,0,0.9756,403
acc_0002,2024-08-19,19940,119,0,0.9736,455
acc_0002,2024-08-20,14381,101,0,0.9624,432
acc_0002,2024-08-21,19768,378,0,0.9942,362
acc_0002,2024-08-22,20950,211,0,0.9771,313
acc_0002,2024-08-23,17571,243,0,0.9581,425
acc_0002,2024-08-24,4648,67,0,0.986,488
acc_0002,2024-08-25,3091,36,0,0.9872,438
acc_0002,2024-08-26,24864,502,0,0.9559,347
acc_0002,2024-08-27,20291,379,0,0.9588,494
acc_0002,2024-08-28,18206,301,0,0.9917,372
acc_0002,2024-08-29,21675,199,0,0.962,380
acc_0002,2024-08-30,20439,359,0,0.9754,436
acc_0002,2024-08-31,4265,51,0,0.9565,450
acc_0002,2024-09-01,4286,55,0,0.9967,474
acc_0002,2024-09-02,21856,187,0,0.9624,519
acc_0002,2024-09-03,20717,214,0,0.9798,473
acc_0002,2024-09-04,19009,156,0,0.9984,158
acc_0002,2024-09-05,14889,114,0,0.9951,357
acc_0002,2024-09-06,17935,192,0,0.9889,449
acc_0002,2024-09-07,4261,36,0,0.9953,369
acc_0002,2024-09-08,3949,20,0,0.9987,429
acc_0002,2024-09-09,17844,223,0,0.9563,441
acc_0002,2024-09-10,20752,412,0,0.9656,538
acc_0002,2024-09-11,18838,278,0,0.9732,327
acc_0002,2024-09-12,20771,332,0,0.9915,337
acc_0002,2024-09-13,21077,361,0,0.9986,411
acc_0002,2024-09-14,4540,92,0,0.968,555
acc_0002,2024-09-15,3949,56,0,0.9853,459
acc_0002,2024-09-16,20474,244,0,0.9817,416
acc_0002,2024-09-17,21989,159,0,0.9545,420
acc_0002,2024-09-18,22358,125,0,0.966,409
acc_0002,2024-09-19,15095,138,0,0.9827,454
acc_0002,2024-09-20,19255,143,0,0.9639,475
acc_0002,2024-09-21,4262,59,0,0.9844,420
acc_0002,2024-09-22,2702,25,0,0.9806,533
acc_0002,2024-09-23,23657,274,0,0.9836,407
acc_0002,2024-09-24,20076,300,0,0.9718,504
acc_0002,2024-09-25,17204,239,0,0.974,389
acc_0002,2024-09-26,17492,345,0,0.9953,485
acc_0002,2024-09-27,16340,284,0,0.9874,339
acc_0002,2024-09-28,4902,75,0,0.9642,459
acc_0002,2024-09-29,4284,50,0,0.9607,413
